sku,is_combo,combo_box_count,net_weight_lbs,gross_weight_lbs,child_combo,assembled_length_in,assembled_width_in,assembled_height_in,package_length_in,package_width_in,package_height_in,page_price,page_shipping,giga_url,status,notes
W714S01988,True,2,98.0,106.0,W714P520808*1 | W714P520847*1,,,,,,,,,https://www.gigab2b.com/product/W714S01988,pending,
W714S01989,True,3,121.0,132.0,W714P520808*1 | W714P520847*1W714P520815*1,,,,,,,,,https://www.gigab2b.com/product/W714S01989,pending,
W714S01990,True,4,144.0,158.0,W714P520808*1 | W714P520847*1W714P520815*2,,,,,,,,,https://www.gigab2b.com/product/W714S01990,pending,
W714S01991,True,3,136.0,147.0,W714P520808*1 | W714P520847*1 | W714P520814*1,,,,,,,,,https://www.gigab2b.com/product/W714S01991,pending,
W714S01992,True,4,159.0,173.0,W714P520808*1 | W714P520847*1 | W714P520814*1 | W714P520815*1,,,,,,,,,https://www.gigab2b.com/product/W714S01992,pending,
W714S01995,True,4,174.0,188.0,W714P520808*1 | W714P520847*1 | W714P520814*2,,,,,,,,,https://www.gigab2b.com/product/W714S01995,pending,
W714S01998,True,2,98.0,106.0,W714P520817*1 | W714P520818*1,,,,,,,,,https://www.gigab2b.com/product/W714S01998,pending,
W714S01999,True,3,121.0,132.0,W714P520817*1 | W714P520818*1 | W714P520820*1,,,,,,,,,https://www.gigab2b.com/product/W714S01999,pending,
W714S02000,True,4,144.0,158.0,W714P520817*1 | W714P520818*1 | W714P520820*2,,,,,,,,,https://www.gigab2b.com/product/W714S02000,pending,
W714S02001,True,3,136.0,147.0,W714P520817*1 | W714P520818*1 | W714P520819*1,,,,,,,,,https://www.gigab2b.com/product/W714S02001,pending,
W714S02002,True,4,159.0,173.0,W714P520817*1 | W714P520818*1 | W714P520819*1 | W714P520820*1,,,,,,,,,https://www.gigab2b.com/product/W714S02002,pending,
W714S02005,True,4,174.0,188.0,W714P520817*1 | W714P520818*1 | W714P520819*2,,,,,,,,,https://www.gigab2b.com/product/W714S02005,pending,
