sku,is_combo,combo_box_count,net_weight_lbs,gross_weight_lbs,child_combo,assembled_length_in,assembled_width_in,assembled_height_in,package_length_in,package_width_in,package_height_in,page_price,page_shipping,giga_url,status,notes
W714S02008,True,2,98.0,106.0,W714P520821*1 | W714P520822*1,,,,,,,,,https://www.gigab2b.com/product/W714S02008,pending,
W714S02009,True,3,121.0,132.0,W714P520821*1 | W714P520822*1 | W714P520824*1,,,,,,,,,https://www.gigab2b.com/product/W714S02009,pending,
W714S02010,True,4,144.0,158.0,W714P520821*1 | W714P520822*1 | W714P520824*2,,,,,,,,,https://www.gigab2b.com/product/W714S02010,pending,
W714S02011,True,3,136.0,147.0,W714P520821*1 | W714P520822*1 | W714P520823*1,,,,,,,,,https://www.gigab2b.com/product/W714S02011,pending,
W714S02012,True,4,159.0,173.0,W714P520821*1 | W714P520822*1 | W714P520823*1 | W714P520824*1,,,,,,,,,https://www.gigab2b.com/product/W714S02012,pending,
W714S02015,True,4,174.0,188.0,W714P520821*1 | W714P520822*1 | W714P520823*2,,,,,,,,,https://www.gigab2b.com/product/W714S02015,pending,
W714S02018,True,2,98.0,106.0,W714P520826*1 | W714P520827*1,,,,,,,,,https://www.gigab2b.com/product/W714S02018,pending,
W714S02019,True,3,121.0,132.0,W714P520826*1 | W714P520827*1 | W714P520829*1,,,,,,,,,https://www.gigab2b.com/product/W714S02019,pending,
W714S02020,True,4,144.0,158.0,W714P520826*1 | W714P520827*1 | W714P520829*2,,,,,,,,,https://www.gigab2b.com/product/W714S02020,pending,
W714S02021,True,3,136.0,147.0,W714P520826*1 | W714P520827*1 | W714P520828*1,,,,,,,,,https://www.gigab2b.com/product/W714S02021,pending,
W714S02022,True,4,159.0,173.0,W714P520826*1 | W714P520827*1 | W714P520828*1 | W714P520829*1,,,,,,,,,https://www.gigab2b.com/product/W714S02022,pending,
W714S02025,True,4,174.0,188.0,W714P520826*1 | W714P520827*1 | W714P520828*2,,,,,,,,,https://www.gigab2b.com/product/W714S02025,pending,
