batch,sheet,sku,name,table_discount_price,table_shipping,stock,net_weight_lbs,gross_weight_lbs,child_combo,combo_box_count,is_combo,shipping_source
B2,87系列,W714S02067,2S,237.38,78.62,60.0,111.32,128.0,W714P508120x1 | W714P508121x1,2,True,excel_table
B2,87系列,W714S02068,2S+1O,307.93,99.31,60.0,136.62,159.0,W714P508120x1 | W714P508121x1 | W714P508161x1,3,True,excel_table
B2,87系列,W714S02069,2S+2O,378.48,120.0,36.0,161.92,190.0,W714P508120x1 | W714P508121x1 | W714P508161x2,4,True,excel_table
B2,87系列,W714S02070,3S,332.83,115.8,50.0,153.12,177.0,W714P508120x1 | W714P508121x1 | W714P508155x1,3,True,excel_table
B2,87系列,W714S02058,2S,237.38,78.62,62.0,111.32,128.0,W714P508142x1 | W714P508147x1,2,True,excel_table
B2,87系列,W714S02059,2S+1O,307.93,99.31,62.0,136.62,159.0,W714P508142x1 | W714P508147x1 | W714P508168x1,3,True,excel_table
B2,87系列,W714S02060,2S+2O,378.48,120.0,37.0,161.92,190.0,W714P508142x1 | W714P508147x1 | W714P508168x2,4,True,excel_table
B2,87系列,W714S02061,3S,332.83,115.8,50.0,153.12,177.0,W714P508142x1 | W714P508147x1 | W714P508166x1,3,True,excel_table
B2,87系列,W714S02049,2S,237.38,78.62,62.0,111.32,128.0,W714P508170x1 | W714P508175x1,2,True,excel_table
B2,87系列,W714S02050,2S+1O,307.93,99.31,62.0,136.62,159.0,W714P508170x1 | W714P508175x1 | W714P508180x1,3,True,excel_table
B2,87系列,W714S02051,2S+2O,378.48,120.0,37.0,161.92,190.0,W714P508170x1 | W714P508175x1 | W714P508180x2,4,True,excel_table
B2,87系列,W714S02052,3S,332.83,115.8,50.0,153.12,177.0,W714P508170x1 | W714P508175x1 | W714P508176x1,3,True,excel_table
B2,87系列,W714S02040,2S,237.38,78.62,57.0,111.32,128.0,W714P508182x1 | W714P508188x1,2,True,excel_table
B2,87系列,W714S02041,2S+1O,307.93,99.31,57.0,136.62,159.0,W714P508182x1 | W714P508188x1 | W714P508196x1,3,True,excel_table
B2,87系列,W714S02042,2S+2O,378.48,120.0,33.0,161.92,190.0,W714P508182x1 | W714P508188x1 | W714P508196x2,4,True,excel_table
B2,87系列,W714S02043,3S,332.83,115.8,46.0,153.12,177.0,W714P508182x1 | W714P508188x1 | W714P508193x1,3,True,excel_table
