batch,sheet,sku,name,table_discount_price,table_shipping,stock,net_weight_lbs,gross_weight_lbs,child_combo,combo_box_count,is_combo,shipping_source
B0,98系列,W714P501023,2S,205.2,71.73,19.0,94.0,103.0,,1,False,estimated_from_gross_ratio
B0,98系列,W714S01975,2S+1O,268.2,91.23,19.0,116.0,131.0,W714P501023x1 | W714P501029x1,2,True,estimated_from_gross_ratio
B0,98系列,W714S01976,2S+2O,331.2,110.72,19.0,138.0,159.0,W714P501023 x1 | W714P501029 x2,3,True,estimated_from_gross_ratio
B0,98系列,W714S01977,3S+1O,358.2,119.08,19.0,153.0,171.0,W714P501023 x1 | W714P501028 x1,2,True,estimated_from_gross_ratio
B0,98系列,W714P500997,2S,205.2,71.73,57.0,94.0,103.0,,1,False,estimated_from_gross_ratio
B0,98系列,W714S01969,2S+1O,268.2,91.23,57.0,116.0,131.0,W714P500997 x1 | W714P501021 x1,2,True,estimated_from_gross_ratio
B0,98系列,W714S01970,2S+2O,331.2,110.72,46.0,138.0,159.0,W714P500997 x1 | W714P501021 x2,3,True,estimated_from_gross_ratio
B0,98系列,W714S01971,3S+1O,358.2,119.08,57.0,153.0,171.0,W714P500997 x1 | W714P501015 x1,2,True,estimated_from_gross_ratio
B1,110系列,W714S01988,,232.2,75.7,75.0,98.0,106.0,W714P520808*1 | W714P520847*1,2,True,excel_table
B1,110系列,W714S01989,,290.68,93.87,75.0,121.0,132.0,W714P520808*1 | W714P520847*1W714P520815*1,3,True,excel_table
B1,110系列,W714S01990,,349.16,112.04,44.0,144.0,158.0,W714P520808*1 | W714P520847*1W714P520815*2,4,True,excel_table
B1,110系列,W714S01991,,312.18,100.77,60.0,136.0,147.0,W714P520808*1 | W714P520847*1 | W714P520814*1,3,True,excel_table
B1,110系列,W714S01992,,370.66,118.94,60.0,159.0,173.0,W714P520808*1 | W714P520847*1 | W714P520814*1 | W714P520815*1,4,True,excel_table
B1,110系列,W714S01995,,392.16,125.84,30.0,174.0,188.0,W714P520808*1 | W714P520847*1 | W714P520814*2,4,True,excel_table
B1,110系列,W714S01998,,232.2,75.7,71.0,98.0,106.0,W714P520817*1 | W714P520818*1,2,True,excel_table
B1,110系列,W714S01999,,290.68,93.87,71.0,121.0,132.0,W714P520817*1 | W714P520818*1 | W714P520820*1,3,True,excel_table
B1,110系列,W714S02000,,349.16,112.04,41.0,144.0,158.0,W714P520817*1 | W714P520818*1 | W714P520820*2,4,True,excel_table
B1,110系列,W714S02001,,312.18,100.77,56.0,136.0,147.0,W714P520817*1 | W714P520818*1 | W714P520819*1,3,True,excel_table
B1,110系列,W714S02002,,370.66,118.94,56.0,159.0,173.0,W714P520817*1 | W714P520818*1 | W714P520819*1 | W714P520820*1,4,True,excel_table
B1,110系列,W714S02005,,392.16,125.84,28.0,174.0,188.0,W714P520817*1 | W714P520818*1 | W714P520819*2,4,True,excel_table
B1,110系列,W714S02008,,232.2,75.7,71.0,98.0,106.0,W714P520821*1 | W714P520822*1,2,True,excel_table
B1,110系列,W714S02009,,290.68,93.87,71.0,121.0,132.0,W714P520821*1 | W714P520822*1 | W714P520824*1,3,True,excel_table
B1,110系列,W714S02010,,349.16,112.04,42.0,144.0,158.0,W714P520821*1 | W714P520822*1 | W714P520824*2,4,True,excel_table
B1,110系列,W714S02011,,312.18,100.77,59.0,136.0,147.0,W714P520821*1 | W714P520822*1 | W714P520823*1,3,True,excel_table
B1,110系列,W714S02012,,370.66,118.94,59.0,159.0,173.0,W714P520821*1 | W714P520822*1 | W714P520823*1 | W714P520824*1,4,True,excel_table
B1,110系列,W714S02015,,392.16,125.84,29.0,174.0,188.0,W714P520821*1 | W714P520822*1 | W714P520823*2,4,True,excel_table
B1,110系列,W714S02018,,232.2,75.7,71.0,98.0,106.0,W714P520826*1 | W714P520827*1,2,True,excel_table
B1,110系列,W714S02019,,290.68,93.87,71.0,121.0,132.0,W714P520826*1 | W714P520827*1 | W714P520829*1,3,True,excel_table
B1,110系列,W714S02020,,349.16,112.04,41.0,144.0,158.0,W714P520826*1 | W714P520827*1 | W714P520829*2,4,True,excel_table
B1,110系列,W714S02021,,312.18,100.77,60.0,136.0,147.0,W714P520826*1 | W714P520827*1 | W714P520828*1,3,True,excel_table
B1,110系列,W714S02022,,370.66,118.94,60.0,159.0,173.0,W714P520826*1 | W714P520827*1 | W714P520828*1 | W714P520829*1,4,True,excel_table
B1,110系列,W714S02025,,392.16,125.84,30.0,174.0,188.0,W714P520826*1 | W714P520827*1 | W714P520828*2,4,True,excel_table
B2,87系列,W714S02067,2S,237.38,78.62,60.0,111.32,128.0,W714P508120x1 | W714P508121x1,2,True,excel_table
B2,87系列,W714S02068,2S+1O,307.93,99.31,60.0,136.62,159.0,W714P508120x1 | W714P508121x1 | W714P508161x1,3,True,excel_table
B2,87系列,W714S02069,2S+2O,378.48,120.0,36.0,161.92,190.0,W714P508120x1 | W714P508121x1 | W714P508161x2,4,True,excel_table
B2,87系列,W714S02070,3S,332.83,115.8,50.0,153.12,177.0,W714P508120x1 | W714P508121x1 | W714P508155x1,3,True,excel_table
B2,87系列,W714S02058,2S,237.38,78.62,62.0,111.32,128.0,W714P508142x1 | W714P508147x1,2,True,excel_table
B2,87系列,W714S02059,2S+1O,307.93,99.31,62.0,136.62,159.0,W714P508142x1 | W714P508147x1 | W714P508168x1,3,True,excel_table
B2,87系列,W714S02060,2S+2O,378.48,120.0,37.0,161.92,190.0,W714P508142x1 | W714P508147x1 | W714P508168x2,4,True,excel_table
B2,87系列,W714S02061,3S,332.83,115.8,50.0,153.12,177.0,W714P508142x1 | W714P508147x1 | W714P508166x1,3,True,excel_table
B2,87系列,W714S02049,2S,237.38,78.62,62.0,111.32,128.0,W714P508170x1 | W714P508175x1,2,True,excel_table
B2,87系列,W714S02050,2S+1O,307.93,99.31,62.0,136.62,159.0,W714P508170x1 | W714P508175x1 | W714P508180x1,3,True,excel_table
B2,87系列,W714S02051,2S+2O,378.48,120.0,37.0,161.92,190.0,W714P508170x1 | W714P508175x1 | W714P508180x2,4,True,excel_table
B2,87系列,W714S02052,3S,332.83,115.8,50.0,153.12,177.0,W714P508170x1 | W714P508175x1 | W714P508176x1,3,True,excel_table
B2,87系列,W714S02040,2S,237.38,78.62,57.0,111.32,128.0,W714P508182x1 | W714P508188x1,2,True,excel_table
B2,87系列,W714S02041,2S+1O,307.93,99.31,57.0,136.62,159.0,W714P508182x1 | W714P508188x1 | W714P508196x1,3,True,excel_table
B2,87系列,W714S02042,2S+2O,378.48,120.0,33.0,161.92,190.0,W714P508182x1 | W714P508188x1 | W714P508196x2,4,True,excel_table
B2,87系列,W714S02043,3S,332.83,115.8,46.0,153.12,177.0,W714P508182x1 | W714P508188x1 | W714P508193x1,3,True,excel_table
B3,107系列,W714S02105,,232.2,76.82,26.0,92.0,106.0,W714P541724*1 | W714P541741*1,2,True,excel_table
B3,107系列,W714S02106,,302.72,96.2,26.0,114.0,134.0,W714P541724*1 | W714P541741*1 | W714P541785*1,3,True,excel_table
B3,107系列,W714S02107,,373.24,148.56,20.0,136.0,162.0,W714P541724*1 | W714P541741*1 | W714P541785*2,4,True,excel_table
B3,107系列,W714S02108,,325.94,112.69,26.0,130.0,150.0,W714P541724*1 | W714P541752*1 | W714P541741*1,3,True,excel_table
B3,107系列,W714S02109,,396.46,132.07,26.0,152.0,178.0,W714P541724*1 | W714P541752*1 | W714P541741*1 | W714P541785*1,4,True,excel_table
B3,107系列,W714P541724,,116.1,38.41,26.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541741,,116.1,38.41,26.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541752,,93.74,35.87,28.0,38.0,44.0,,1,False,excel_table
B3,107系列,W714P541785,,70.52,19.38,40.0,22.0,28.0,,1,False,excel_table
B3,107系列,W714S02096,,232.2,76.82,30.0,92.0,106.0,W714P541738*1 | W714P541745*1,2,True,excel_table
B3,107系列,W714S02150,,302.72,96.2,30.0,114.0,134.0,W714P541738*1 | W714P541745*1 | W714P541830*1,3,True,excel_table
B3,107系列,W714S02098,,373.24,148.56,23.0,136.0,162.0,W714P541738*1 | W714P541745*1 | W714P541830*2,4,True,excel_table
B3,107系列,W714S02099,,325.94,112.69,30.0,130.0,150.0,W714P541738*1 | W714P541756*1 | W714P541745*1,3,True,excel_table
B3,107系列,W714S02100,,396.46,132.07,30.0,152.0,178.0,W714P541738*1 | W714P541756*1 | W714P541745*1 | W714P541830*1,4,True,excel_table
