sku,stock,product_type,overall_shape,seating_capacity,upholstery_material,upholstery_color,wayfair_overall_width_in,wayfair_overall_depth_in,wayfair_overall_height_in,product_weight_lbs,package_weight_lbs,base_cost,pieces_included,dims_source,extract_notes
W714S01969,57.0,Sectional,L-Shaped,2,Chenille,Blue,70.8,66.0,34.6,116.0,131.0,268.2,Ottoman,db_or_page,
W714S01970,46.0,Sectional,L-Shaped,2,Chenille,Blue,70.8,46.0,34.6,138.0,159.0,331.2,Ottoman,db_or_page,
W714S01971,57.0,Sectional,L-Shaped,3,Chenille,Blue,103.8,99.0,34.6,153.0,171.0,358.2,Ottoman,db_or_page,
W714S01988,75.0,Loveseat,Rectangle,2,Corduroy,Green,76.4,38.2,37.0,98.0,106.0,232.2,Does Not Apply,db_or_page,
W714S01989,75.0,Sectional,L-Shaped,2,Corduroy,Green,76.4,38.2,37.0,121.0,132.0,290.68,Ottoman,db_or_page,
W714S01990,44.0,Sectional,U-Shaped,2,Corduroy,Green,76.4,53.0,37.0,144.0,158.0,349.16,Ottoman,db_or_page,
W714S01991,60.0,Sectional,L-Shaped,3,Corduroy,Green,104.0,38.2,37.0,136.0,147.0,312.18,Does Not Apply,db_or_page,
W714S01992,60.0,Sectional,L-Shaped,3,Corduroy,Green,104.0,63.4,37.0,159.0,173.0,370.66,Ottoman,db_or_page,
W714S01995,30.0,Sectional,L-Shaped,4,Corduroy,Green,132.3,38.2,37.0,174.0,188.0,392.16,Does Not Apply,db_or_page,
W714S01998,71.0,Loveseat,Rectangle,2,Corduroy,Brown,76.4,38.2,37.0,98.0,106.0,232.2,Does Not Apply,db_or_page,
W714S01999,71.0,Sectional,L-Shaped,2,Corduroy,Brown,76.4,38.2,37.0,121.0,132.0,290.68,Ottoman,db_or_page,
W714S02000,41.0,Sectional,U-Shaped,2,Corduroy,Brown,76.4,53.0,37.0,144.0,158.0,349.16,Ottoman,db_or_page,
W714S02001,56.0,Sectional,L-Shaped,3,Corduroy,Brown,104.0,38.2,37.0,136.0,147.0,312.18,Does Not Apply,db_or_page,
W714S02002,56.0,Sectional,L-Shaped,3,Corduroy,Brown,104.0,63.4,37.0,159.0,173.0,370.66,Ottoman,db_or_page,
W714S02005,28.0,Sectional,L-Shaped,4,Corduroy,Brown,132.3,38.2,37.0,174.0,188.0,392.16,Does Not Apply,db_or_page,
W714S02008,71.0,Loveseat,Rectangle,2,Corduroy,Blue,76.4,38.2,37.0,98.0,106.0,232.2,Does Not Apply,db_or_page,
W714S02009,71.0,Sectional,L-Shaped,2,Corduroy,Blue,76.4,38.2,37.0,121.0,132.0,290.68,Ottoman,db_or_page,
W714S02010,42.0,Sectional,U-Shaped,2,Corduroy,Blue,76.4,53.0,37.0,144.0,158.0,349.16,Ottoman,db_or_page,
W714S02011,59.0,Sectional,L-Shaped,3,Corduroy,Blue,104.0,38.2,37.0,136.0,147.0,312.18,Does Not Apply,db_or_page,
W714S02012,59.0,Sectional,L-Shaped,3,Corduroy,Blue,104.0,63.4,37.0,159.0,173.0,370.66,Ottoman,db_or_page,
W714S02015,29.0,Sectional,L-Shaped,4,Corduroy,Blue,132.3,38.2,37.0,174.0,188.0,392.16,Does Not Apply,db_or_page,
W714S02018,71.0,Loveseat,Rectangle,2,Corduroy,Black,76.4,38.2,37.0,98.0,106.0,232.2,Does Not Apply,db_or_page,
W714S02019,71.0,Sectional,L-Shaped,2,Corduroy,Black,76.4,38.2,37.0,121.0,132.0,290.68,Ottoman,db_or_page,
W714S02020,41.0,Sectional,U-Shaped,2,Corduroy,Black,76.4,53.0,37.0,144.0,158.0,349.16,Ottoman,db_or_page,
W714S02021,60.0,Sectional,L-Shaped,3,Corduroy,Black,104.0,38.2,37.0,136.0,147.0,312.18,Does Not Apply,db_or_page,
W714S02022,60.0,Sectional,L-Shaped,3,Corduroy,Black,104.0,63.4,37.0,159.0,173.0,370.66,Ottoman,db_or_page,
W714S02025,30.0,Sectional,L-Shaped,4,Corduroy,Black,132.3,38.2,37.0,174.0,188.0,392.16,Does Not Apply,db_or_page,
W714S02067,60.0,Loveseat,Rectangle,2,Chenille,Beige,72.4,36.6,36.6,111.32,128.0,237.38,Does Not Apply,vl,
W714S02068,60.0,Sectional,L-Shaped,2,Chenille,Beige,,,,136.62,159.0,307.93,Ottoman,page_or_excel,missing_assembled_dims
W714S02069,36.0,Sectional,L-Shaped,2,Chenille,Beige,72.4,64.9,36.6,161.92,190.0,378.48,Ottoman,vl,
W714S02070,50.0,Sectional,L-Shaped,3,Chenille,Beige,104.3,36.6,36.6,153.12,177.0,332.83,Does Not Apply,vl,
W714S02058,62.0,Loveseat,Rectangle,2,Chenille,Brown,72.4,36.6,36.6,111.32,128.0,237.38,Does Not Apply,vl,
W714S02059,62.0,Sectional,L-Shaped,2,Chenille,Brown,,,,136.62,159.0,307.93,Ottoman,page_or_excel,missing_assembled_dims
W714S02060,37.0,Sectional,L-Shaped,2,Chenille,Brown,72.4,64.9,36.6,161.92,190.0,378.48,Ottoman,vl,
W714S02061,50.0,Sectional,L-Shaped,3,Chenille,Brown,104.3,36.6,36.6,153.12,177.0,332.83,Ottoman,layout_sibling,
W714S02049,62.0,Loveseat,Rectangle,2,Chenille,Green,72.4,36.6,36.6,111.32,128.0,237.38,Does Not Apply,vl,
W714S02050,62.0,Sectional,L-Shaped,2,Chenille,Green,,,,136.62,159.0,307.93,Ottoman,page_or_excel,missing_assembled_dims
W714S02051,37.0,Sectional,L-Shaped,2,Chenille,Green,72.4,64.9,36.6,161.92,190.0,378.48,Ottoman,vl,
W714S02052,50.0,Sectional,L-Shaped,3,Chenille,Green,104.3,36.6,36.6,153.12,177.0,332.83,Does Not Apply,vl,
W714S02040,57.0,Loveseat,Rectangle,2,Chenille,Blue,72.4,36.6,36.6,111.32,128.0,237.38,Does Not Apply,vl,
W714S02041,57.0,Sectional,L-Shaped,2,Chenille,Blue,,,,136.62,159.0,307.93,Ottoman,page_or_excel,missing_assembled_dims
W714S02042,33.0,Sectional,L-Shaped,2,Chenille,Blue,72.4,64.9,36.6,161.92,190.0,378.48,Ottoman,vl,
W714S02043,46.0,Sectional,L-Shaped,3,Chenille,Blue,104.3,36.6,36.6,153.12,177.0,332.83,Does Not Apply,vl,
W714S02105,26.0,Sectional,L-Shaped,2,Chenille,Beige,69.2,35.8,34.6,92.0,106.0,232.2,Does Not Apply,vl,
W714S02106,26.0,Sectional,L-Shaped,2,Chenille,Beige,69.2,57.4,35.8,114.0,134.0,302.72,Ottoman,vl,
W714S02108,26.0,Sectional,L-Shaped,3,Chenille,Beige,98.0,35.8,34.6,130.0,150.0,325.94,Does Not Apply,vl,
W714S02109,26.0,Sectional,L-Shaped,3,Chenille,Beige,98.0,34.6,35.8,152.0,178.0,396.46,Ottoman,vl,
W714S02096,30.0,Sectional,L-Shaped,2,Chenille,Pink,69.2,35.8,34.6,92.0,106.0,232.2,Does Not Apply,vl,
W714S02150,30.0,Sectional,L-Shaped,2,Chenille,Pink,69.2,57.4,35.8,114.0,134.0,302.72,Ottoman,vl,
W714S02098,23.0,Sectional,L-Shaped,2,Chenille,Pink,69.2,57.4,35.8,136.0,162.0,373.24,Ottoman,vl,
W714S02099,30.0,Sectional,L-Shaped,3,Chenille,Pink,98.0,35.8,34.6,130.0,150.0,325.94,Does Not Apply,vl,
W714S02100,30.0,Sectional,L-Shaped,3,Chenille,Pink,98.0,34.6,35.8,152.0,178.0,396.46,Ottoman,vl,
W714S02087,34.0,Sectional,L-Shaped,2,Chenille,Green,69.2,35.8,34.6,92.0,106.0,232.2,Does Not Apply,vl,
W714S02088,34.0,Sectional,L-Shaped,2,Chenille,Green,69.2,57.4,35.8,114.0,134.0,302.72,Ottoman,vl,
